"BAS_NUM","BAS_REGIME","X_COORD","Y_COORD"
"6347","TEMPORARY",884273.4241,4774935.965
"6350","SEASONAL",880209.1925,4773635.833
"6358","TEMPORARY",884176.6686,4774875.029
"6360","TEMPORARY",884826.7722,4774922.027
"6369","TEMPORARY",885091.1058,4774850.628
"6370","SEASONAL",882316.4486,4774641.732
"6377","TEMPORARY",884081.9237,4774696.565
"6380","TEMPORARY",884231.3701,4774580.413
"6391","TEMPORARY",881459.3927,4774375.076
"6394","TEMPORARY",883350.7431,4774462.88
"6395","TEMPORARY",881650.0476,4774336.418
"6401","TEMPORARY",884668.8679,4774456.503
"6402","TEMPORARY",883296.6532,4774344.802
"6403","TEMPORARY",884532.9241,4774420.287
"6405","TEMPORARY",884568.9026,4774406.485
"6410","SEASONAL",883747.9472,4774290.026
"6414","TEMPORARY",882525.2312,4774149.643
"6427","TEMPORARY",883283.7071,4774106.527
"6441","TEMPORARY",883584.5057,4774041.592
"6443","TEMPORARY",881478.1555,4773886.822
"6446","SEASONAL",882933.6959,4773937.175
"6456","SEASONAL",884300.7052,4773926.423
"6457","TEMPORARY",882184.7033,4773780.696
"6460","SEASONAL",884225.9793,4773855.753
"6463","TEMPORARY",883514.2717,4773797.653
"6464","TEMPORARY",883320.0363,4773774.216
"6468","SEASONAL",884376.1362,4773775.266
"6470","TEMPORARY",883287.5787,4773715.317
"6471","TEMPORARY",883681.9299,4773737.817
"6474","TEMPORARY",883096.3611,4773677.612
"6475","TEMPORARY",883759.1873,4773709.891
"6477","TEMPORARY",885101.6474,4773815.011
"6481","TEMPORARY",885013.5318,4773800.341
"6496","TEMPORARY",885154.2531,4773728.237
"6499","TEMPORARY",883346.061,4773578.93
"6503","TEMPORARY",884935.9306,4773657.711
"6506","TEMPORARY",883066.5555,4773518.931
"6507","TEMPORARY",883490.9685,4773558.619
"6511","SEMIPERMANENT",885314.2395,4773666.002
"6515","TEMPORARY",885171.0249,4773631.089
"6516","TEMPORARY",884781.5612,4773601.437
"6517","TEMPORARY",884628.9648,4773589.184
"6519","TEMPORARY",883267.1329,4773478.944
"6529","TEMPORARY",883310.9216,4773441.045
"6535","TEMPORARY",884430.5245,4773477.919
"6543","TEMPORARY",884303.0477,4773345.19
"6549","TEMPORARY",883238.2085,4773247.315
"6551","TEMPORARY",883120.804,4773232.851
"6558","TEMPORARY",883477.7057,4773208.158
"6569","SEASONAL",883624.105,4773077.351
"6573","TEMPORARY",883371.303,4772978.924
"6576","SEASONAL",883514.0182,4772979.503
"6579","SEASONAL",883653.0874,4772968.861
"6581","SEASONAL",883725.2001,4772948.17
"6583","TEMPORARY",883646.5531,4772912.37
"6584","SEMIPERMANENT",883738.334,4772674.208
"6585","TEMPORARY",883953.6559,4772923.369
"6590","TEMPORARY",883954.5098,4772867.705
"6593","SEASONAL",883764.2873,4772824.415
"6600","SEASONAL",884062.6427,4772784.711
"6606","SEASONAL",884120.9914,4772751.929
"6608","SEASONAL",884089.5374,4772708.168
"6615","SEMIPERMANENT",884163.1756,4772470.655
"6616","SEASONAL",883983.2253,4772455.018
"6617","TEMPORARY",881841.2349,4772269.977
"6618","TEMPORARY",882072.4377,4772256.253
"6620","TEMPORARY",881472.8799,4772237.852
"6621","TEMPORARY",881698.8493,4772238.703
"6622","TEMPORARY",881974.913,4772208.105
"6625","TEMPORARY",881504.8415,4772175.257
"6628","SEMIPERMANENT",881775.945,4771908.838
"6629","TEMPORARY",881832.5836,4772146.717
"6630","TEMPORARY",881772.1259,4772132.389
"6631","TEMPORARY",881952.4882,4772126.115
"6635","TEMPORARY",882096.1623,4772056.283
"6637","TEMPORARY",884571.1117,4772292.771
"6638","TEMPORARY",884715.8069,4772281.646
"6655","TEMPORARY",882136.7542,4771945.408
"6656","TEMPORARY",881948.3082,4771921.299
"6658","TEMPORARY",882306.5423,4771949.123
"6681","SEASONAL",881397.5826,4771532.812
